,AP,x_coordinate(m),y_coordinate(m),floor
285,Bldg8AP22,21804,32861,4.0
286,Bldg8AP23,21804,32861,5.0
287,Bldg8AP24,21804,32861,5.0
288,Bldg9AP1,21851,32856,2.0
289,Bldg9AP2,21851,32856,2.0
290,Bldg9AP3,21851,32856,2.0
291,Bldg9AP4,21851,32856,4.0
292,Bldg9AP5,21851,32856,4.0
293,Bldg9AP6,21851,32856,4.0
294,Bldg9AP7,21851,32856,4.0
295,Bldg9AP8,21851,32856,4.0
296,Bldg9AP9,21851,32856,5.0
297,Bldg9AP10,21851,32856,5.0
298,Bldg9AP11,21851,32856,5.0
299,Bldg9AP12,21851,32856,5.0
300,Bldg9AP13,21851,32856,1.0
301,Bldg9AP14,21851,32856,1.0
302,Bldg9AP15,21851,32856,1.0
303,Bldg9AP16,21851,32856,4.0
304,Bldg9AP17,21851,32856,5.0
305,Bldg9AP18,21851,32856,5.0
306,Bldg10AP1,21736,32907,1.0
307,Bldg10AP2,21736,32907,2.0
308,Bldg10AP3,21736,32907,2.0
309,Bldg10AP4,21736,32907,3.0
310,Bldg10AP5,21736,32907,3.0
311,Bldg10AP6,21736,32907,4.0
312,Bldg10AP7,21736,32907,4.0
313,Bldg10AP8,21736,32907,1.0
314,Bldg11AP1,21663,33167,4.0
315,Bldg11AP2,21663,33167,4.0
316,Bldg11AP3,21663,33167,3.0
317,Bldg11AP4,21663,33167,4.0
318,Bldg11AP5,21663,33167,4.0
319,Bldg11AP6,21663,33167,4.0
320,Bldg11AP7,21663,33167,5.0
321,Bldg11AP8,21663,33167,5.0
322,Bldg11AP9,21663,33167,3.0
323,Bldg11AP10,21663,33167,2.0
324,Bldg11AP11,21663,33167,2.0
325,Bldg11AP12,21663,33167,1.0
326,Bldg11AP13,21663,33167,4.0
327,Bldg11AP14,21663,33167,3.0
328,Bldg11AP15,21663,33167,3.0
329,Bldg11AP16,21663,33167,4.0
330,Bldg11AP17,21663,33167,5.0
331,Bldg11AP18,21663,33167,5.0
332,Bldg11AP19,21663,33167,4.0
333,Bldg11AP20,21663,33167,5.0
334,Bldg11AP21,21663,33167,5.0
335,Bldg11AP22,21663,33167,2.0
336,Bldg11AP23,21663,33167,3.0
337,Bldg11AP24,21663,33167,3.0
338,Bldg11AP25,21663,33167,1.0
